Name,Level,Health,Damage,Resist,Accuracy,Power Pip,Critical,Critical Block,Pierce,Stun Resist,Incoming,Outgoing,Pip Conserve,Shadow Pip,Archmastery,Sword Pins,Shield Pins,Power Pins,Source,Owned,Gear Set
Cool Fairy Kei Slippers (Level 170+),170,1025,37,17,3,0,119,178,4,0,0,0,0,16,0,2,0,1,Crowns,False,False
Xibalba Comet Boots (Level 170+),170,1025,37,17,3,0,119,178,4,0,0,0,0,16,0,2,0,1,Raid,False,False
Xibalba Comet Boots (Level 160+),160,912,37,15,3,0,115,163,4,0,0,0,0,14,0,2,0,1,Raid,False,False
Cruel Dream Reaver Boots,170,1318,37,13,3,8,119,178,4,0,0,0,0,0,0,2,0,1,Drop/Vendor,False,False
Crystalline Aeon Boots,160,1172,37,12,3,8,115,163,4,0,0,0,0,0,0,2,0,1,Drop/Vendor,False,False
Burrower's Thaumaturgy Boots (Level 160+),160,1042,34,16,0,6,101,186,3,0,0,0,0,14,0,1,1,1,Gold Key/Gauntlet,False,False
Chilling Page Treaders (Level 170+),170,1464,34,15,4,6,104,204,4,0,0,0,0,0,0,1,1,1,Gold Key/Gauntlet,False,False
Umbra Queen's Chill Heels (Level 170+),170,879,34,15,4,9,104,0,4,0,0,0,0,16,0,2,0,1,Drop/Vendor,False,False
Wastelander's Chill Boots (Level 170+),170,879,34,15,4,9,104,0,4,0,0,0,0,16,0,2,0,1,Crowns,False,False
Hunhau's Comet Boots (Level 170+),170,1318,34,13,0,7,104,178,4,0,0,0,0,18,0,2,0,1,Raid,False,False
Chilling Page Treaders (Level 160+),160,1302,34,13,4,6,101,186,3,0,0,0,0,0,0,1,1,1,Crowns,False,False
Icy Night Mire Boots (Level 160+),160,1302,34,13,4,6,101,186,3,0,0,0,0,0,0,1,1,1,Gold Key/Gauntlet,False,False
Arctic Skyfarer's Boots (Level 160+),160,782,34,13,4,9,101,0,3,0,0,0,0,14,0,2,0,1,Crowns,False,False
Malistaire's Chilly Boots (Level 160+),160,782,34,13,4,9,101,0,3,0,0,0,0,14,0,2,0,1,Crafting,False,False
Wastelander's Chill Boots (Level 160+),160,782,34,13,4,9,101,0,3,0,0,0,0,14,0,2,0,1,Crowns,False,False
Hunhau's Comet Boots (Level 160+),160,1172,34,12,0,7,101,163,3,0,0,0,0,16,0,2,0,1,Raid,False,False
Cruel Dream Warper Boots,170,1172,34,0,3,7,104,153,4,0,0,0,0,0,0,0,0,0,Drop/Vendor,False,False
Steely Enforcer's Boots,165,1107,34,0,3,7,102,146,4,0,0,0,0,0,0,0,0,0,Drop/Vendor,False,False
Crisp City Dweller Hoppers,160,1042,34,0,3,7,101,140,3,0,0,0,0,0,0,0,0,0,Drop/Vendor,False,False
Supreme Freezer Shoes,148,898,34,0,3,0,99,0,0,0,0,0,0,15,0,0,0,0,Drop/Vendor,False,False
Demiurge's Frigid Greaves,150,1043,33,12,3,7,109,155,4,0,0,0,0,0,0,0,0,0,Crafting,False,False
Merciless Ice Boots,150,1043,33,12,3,7,109,155,4,0,0,0,0,0,0,0,0,0,Drop/Vendor,False,False
Crystalline Masterpiece Boots,160,1042,33,10,0,0,100,139,3,0,0,0,0,12,0,0,0,0,Drop/Vendor,False,False
Malevolent Ice Boots,150,1052,32,15,0,8,83,0,0,0,3,0,0,14,0,0,0,0,Drop/Vendor,False,False
Magician's Ice Boots,150,1027,32,14,0,8,83,0,0,0,3,0,0,13,0,0,0,0,Drop/Vendor,False,False
Supreme Detective Shoes,148,1027,32,12,0,0,88,0,0,0,0,0,0,14,0,0,0,0,Drop/Vendor,False,False
Glistening Ice Boots,155,994,32,9,0,0,98,136,3,0,0,0,0,11,0,0,0,0,Drop/Vendor,False,False
Hierarch's Freezer Shoes,145,834,32,0,3,0,94,0,0,0,0,0,0,14,0,0,0,0,Drop/Vendor,False,False
Supreme Cold Steel Shoes,148,1155,31,14,0,7,0,0,0,0,0,0,0,14,0,0,0,0,Drop/Vendor,False,False
Hierarch's Detective Shoes,145,963,31,12,0,0,83,0,0,0,0,0,0,14,0,0,0,0,Drop/Vendor,False,False
Trooper Officer Footwear,150,947,31,8,0,0,95,133,3,0,0,0,0,11,0,0,0,0,Drop/Vendor,False,False
Lemurian Freezer Shoes,142,770,31,0,2,0,94,0,0,0,0,0,0,14,0,0,0,0,Drop/Vendor,False,False
Cruel Dream Stalker Boots,170,1172,30,18,5,7,0,204,3,0,0,0,0,14,0,1,1,1,Crafting,False,False
Unreal Wraps of Freezing,170,1025,30,17,5,8,0,178,3,0,0,0,0,16,0,1,1,1,Raid,False,False
Eternal Crystalline Boots,160,1042,30,16,5,7,86,186,0,0,0,0,0,12,0,1,1,1,Crafting,False,False
Great Inventor's Ice Boots (Level 160+),160,1042,30,16,5,7,86,186,0,0,0,0,0,12,0,1,1,1,Crowns,False,False
Delightful Wonderneer Boots,140,992,30,15,0,9,77,0,0,0,3,0,0,14,0,0,0,0,Crafting,False,False
Uber Wonderneer Boots,140,992,30,15,0,9,77,0,0,0,3,0,0,14,0,0,0,0,Drop/Vendor,False,False
Wunderbar Wonderneer Boots,140,957,30,15,0,8,77,0,0,0,3,0,0,13,0,0,0,0,Drop/Vendor,False,False
Frigid Boots of The Void (Level 160+),160,912,30,15,5,9,0,163,3,0,0,0,0,14,0,1,1,1,Raid,False,False
Floramancer Greaves of Bark (Level 160+),160,912,30,15,5,8,0,163,3,0,0,0,0,14,0,1,1,1,Crowns,False,False
Dragoon's Icy Boots,130,1194,30,14,0,8,126,0,0,0,0,3,0,12,0,0,0,0,Drop/Vendor,False,True
Cool Fairy Kei Slippers (Level 140+),140,712,30,14,3,0,104,147,4,0,0,0,0,12,0,2,0,1,Crowns,False,False
Icy Night Mire Boots (Level 150+),150,1158,30,13,4,5,96,177,3,0,0,0,0,0,0,1,1,1,Crowns,False,False
Ghastly Cerberus Master Boots (Level 150+),150,1158,30,13,4,5,96,177,0,0,0,0,0,0,0,0,0,0,Crowns,False,False
Arctic Skyfarer's Boots (Level 150+),150,695,30,13,4,8,96,0,3,0,0,0,0,12,0,2,0,1,Crowns,False,False
Wastelander's Chill Boots (Level 150+),150,695,30,13,4,8,96,0,3,0,0,0,0,12,0,2,0,1,Crowns,False,False
Morganthe's Icy Heels (Level 150+),150,695,30,13,4,8,96,0,0,0,0,7,0,12,0,0,0,0,Crowns,False,False
Daemonic Wraps of Freezing,170,1172,30,11,4,9,119,0,5,0,0,0,0,14,0,2,0,1,Raid,False,False
