Name,Level,Health,Damage,Resist,Accuracy,Power Pip,Critical,Critical Block,Pierce,Stun Resist,Incoming,Outgoing,Pip Conserve,Shadow Pip,Archmastery,Sword Pins,Shield Pins,Power Pins,Source,Owned,Gear Set
Cute Fairy Kei Broadbrim (Level 170+),170,765,34,15,5,0,184,96,8,0,0,0,0,19,0,2,1,0,Crowns,False,None
Xibalba Vacuum Helm (Level 170+),170,765,34,15,5,0,184,96,8,0,0,0,0,19,0,2,1,0,Raid,False,None
Deft Dream Reaver Hood,170,983,34,12,5,11,184,96,8,0,0,0,0,0,0,2,1,0,"Drop, Crafting, Crowns",False,None
Xibalba Vacuum Helm (Level 160+),160,711,33,14,5,0,170,85,7,0,0,0,0,17,0,2,1,0,Raid,False,None
Abstract Aeon Helm,160,914,33,11,5,11,170,85,7,0,0,0,0,0,0,2,1,0,"Drop, Crafting, Crowns",False,None
Astute Hardback Helmet (Level 170+),170,1092,31,13,6,8,161,109,7,0,0,0,0,0,0,2,1,0,"Housing Gauntlet, Crowns",False,None
Umbra Queen's Dusty Crown (Level 170+),170,656,31,13,6,13,161,0,7,0,0,0,0,19,0,2,0,1,Rematch,False,None
Wastelander's Dusty Hat (Level 170+),170,656,31,13,6,13,161,0,7,0,0,0,0,19,0,2,0,1,Crowns,False,None
Cute Fairy Kei Broadbrim (Level 150+),150,649,31,13,5,0,160,79,7,0,0,0,0,16,0,2,1,0,Crowns,False,None
Hunhau's Vacuum Helm (Level 170+),170,983,31,12,0,10,161,96,7,0,0,0,0,21,0,2,1,0,Raid,False,None
Demiurge's Schemer Helm,150,835,31,10,5,11,160,79,7,0,0,0,0,0,0,0,0,0,Crafting,False,None
Merciless Balance Cap,150,835,31,10,5,11,160,79,7,0,0,0,0,0,0,0,0,0,"Drop, Crowns",False,None
Alhazred's Karmic Fez (Level 150+),150,835,31,10,5,11,160,79,7,0,0,0,0,0,0,0,0,0,Crowns,False,None
Deft Dream Warper Hood,170,874,31,0,4,10,161,82,7,0,0,0,0,0,0,0,0,0,Drop,False,None
Just Enforcer's Helmet,165,843,31,0,4,10,155,78,6,0,0,0,0,0,0,0,0,0,Drop,False,None
Burrower's Sorcery Hood (Level 160+),160,812,30,15,0,8,149,97,6,0,0,0,0,17,0,2,1,0,"Gold Key, Crowns",False,None
Stable Skyfarer's Douli Hat (Level 160+),160,609,30,14,6,13,149,0,6,0,0,0,0,17,0,2,0,1,Crowns,False,None
Malistaire's Harmonic Locks (Level 160+),160,609,30,14,6,13,149,0,6,0,0,0,0,17,0,2,0,1,Rematch,False,None
Astute Hardback Helmet (Level 160+),160,1015,30,12,6,8,149,97,6,0,0,0,0,0,0,2,1,0,Crowns,False,None
Balanced Night Mire Top Hat (Level 160+),160,1015,30,12,6,8,149,97,6,0,0,0,0,0,0,2,1,0,"Housing Gauntlet, Crowns",False,None
Hunhau's Vacuum Helm (Level 160+),160,914,30,11,0,10,149,85,5,0,0,0,0,19,0,2,1,0,Raid,False,None
Abstract Masterpiece Helm,160,812,30,9,0,0,148,73,6,0,0,0,0,15,0,0,0,0,Drop,False,None
Shadoe's Hat of the Night (Level 150+),150,880,30,0,0,0,99,0,0,9,0,0,0,19,0,0,0,0,Crowns,False,None
Elegant City Dweller Kanga-Cap,160,812,30,0,4,10,149,73,6,0,0,0,0,0,0,0,0,0,Drop,False,None
Shadoe's Hat of Justice (Level 150+),150,660,30,0,0,0,132,0,3,0,0,0,0,19,0,0,0,0,Crowns,False,None
Supreme Hex Hat,148,652,30,0,0,10,174,0,0,0,0,0,0,19,0,0,0,0,"Drop, Bazaar",False,None
Cute Fairy Kei Broadbrim (Level 140+),140,589,29,13,5,0,151,77,6,0,0,0,0,14,0,2,1,0,Crowns,False,None
Glorious Chivalric Crown (Level 140+),140,810,29,0,8,0,90,0,3,0,0,0,0,12,0,0,0,0,Crowns,False,None
Deft Dream Stalker Hood,170,874,28,16,7,10,0,109,6,0,0,0,0,17,0,2,1,0,Crafting,False,None
Unreal Crown of Impossibility,170,765,28,15,7,11,0,96,6,0,0,0,0,19,0,2,0,1,Raid,False,None
Burrower's Sorcery Hood (Level 150+),150,742,28,14,0,8,140,90,6,0,0,0,0,16,0,2,1,0,Crowns,False,None
Balanced Night Mire Top Hat (Level 150+),150,927,28,12,6,6,140,90,6,0,0,0,0,0,0,2,1,0,Crowns,False,None
Stable Skyfarer's Douli Hat (Level 150+),150,557,28,12,6,13,140,0,6,0,0,0,0,16,0,2,0,1,Crowns,False,None
Wastelander's Dusty Hat (Level 150+),150,557,28,12,6,13,140,0,6,0,0,0,0,16,0,2,0,1,Crowns,False,None
Daemonic Crown of Impossibility,170,874,28,10,5,12,184,0,9,0,0,0,0,17,0,2,0,1,Raid,False,None
Outback Adventurer's Hat (Level 160+),160,666,28,9,0,8,126,84,4,0,0,0,0,17,0,0,0,0,Gift Card,False,None
Grandfather Spider's Steady Cowl (Level 150+),150,1299,28,0,6,13,140,0,0,0,0,0,0,16,0,0,0,0,Crowns,False,None
Balanced August Sage Cap (Level 170+),170,874,28,0,5,10,184,82,9,0,0,0,0,21,0,2,0,1,"Gold Key, Crowns",False,None
Measured Chivalric Crown (Level 170+),170,874,28,0,5,10,184,82,9,0,0,0,0,21,0,2,0,1,"Gold Key, Crowns",False,None
Black New Year's Top Hat (Level 150+),150,821,28,0,0,15,0,0,0,0,0,0,0,19,0,0,0,0,Crowns,False,None
Black New Year's Top Cloche (Level 150+),150,821,28,0,0,15,0,0,0,0,0,0,0,19,0,0,0,0,Crowns,False,None
Cosmographer's Cowl (Level 140+),140,775,28,0,0,15,0,0,0,0,0,0,0,18,0,0,0,0,Crowns,False,None
Veggilante Helmet,135,767,28,0,0,13,146,0,0,0,0,0,0,17,0,0,0,0,Crowns,False,None
Malevolent Balance Cap,150,764,28,0,4,14,124,0,4,0,0,0,0,18,0,0,0,0,Drop,False,None
